restaurant_id,name,price,city,region,timing,rating_type,rating,votes,url
645,Udipi's Khana Khazana,450.0,Mumbai,Virar,930am to 130am(Mon-Sun),Average,3.0,6.0,https://www.zomato.com/mumbai/udipis-khana-khazana-virar/info
646,Adarsh Restaurant,400.0,Mumbai,Vikhroli,"1130am to 330pm,730pm to 1230AM(Mon-Sun)",Average,3.4,47.0,https://www.zomato.com/mumbai/adarsh-restaurant-vikhroli/info
647,Shree Laxmi,600.0,Mumbai,Hill Road-- Bandra West,11am to 1230AM(Mon-Sun),Average,2.8,14.0,https://www.zomato.com/mumbai/shree-laxmi-hill-road-bandra-west/info
648,Kwality Wall's Happiness Station,200.0,Mumbai,New Panvel,1030am to 1230AM(Mon-Sun),Good,3.5,73.0,https://www.zomato.com/mumbai/kwality-walls-happiness-station-new-panvel-navi-mumbai/info
649,Utsav Wine & Dine,600.0,Mumbai,New Panvel,730am to 1am(Mon-Sun),Average,3.4,46.0,https://www.zomato.com/mumbai/utsav-wine-dine-new-panvel-navi-mumbai/info
650,Berry Straw,200.0,Mumbai,Nerul,11am to 1am(Mon-Sun),Good,3.7,39.0,https://www.zomato.com/mumbai/berry-straw-nerul-navi-mumbai/info
651,Yadgaar Cold Drink House,300.0,Mumbai,Bandra Talao-- Bandra West,1030am to 1am(Mon-Sun),Good,3.7,60.0,https://www.zomato.com/mumbai/yadgaar-cold-drink-house-bandra-talao-bandra-west/info
652,Cafe Edesia,400.0,Mumbai,Parel,8am to 1230AM(Mon-Sun),Good,3.5,69.0,https://www.zomato.com/mumbai/cafe-edesia-1-parel/info
653,My China Kitchen,300.0,Mumbai,Malad East,"1130am to 4pm,630pm to 1230AM(Mon-Sun)",Not rated,,,https://www.zomato.com/mumbai/my-china-kitchen-malad-east/info
654,Made In China,300.0,Mumbai,Vikhroli,"12noon to 530pm,7pm to 3am(Mon-Sun)",,,,https://www.zomato.com/mumbai/made-in-china-vikhroli/info
655,Hotel Super Bowl,300.0,Mumbai,Ulhasnagar,4pm to 1am(Mon-Sun),,,,https://www.zomato.com/mumbai/hotel-super-bowl-ulhasnagar-thane/info
656,NAME,,CITY,REGION,TIMING,RATING_TYPE,,,URL
657,Cake Street,200.0,Mumbai,Airoli,1030am to 2am(Mon-Sun),,,,https://www.zomato.com/mumbai/cake-street-6-airoli-navi-mumbai/info
658,A-1 Fish Koliwada,400.0,Mumbai,Tardeo,630pm to 1230AM(Mon-Sun),Good,3.6,143.0,https://www.zomato.com/mumbai/a-1-fish-koliwada-tardeo/info
659,Datt  Family Restaurant and Bar,700.0,Mumbai,Old Panvel,10am to 1am(Mon-Sun),Average,3.4,24.0,https://www.zomato.com/mumbai/datt-family-restaurant-and-bar-old-panvel-navi-mumbai/info
660,Nityan,500.0,Mumbai,Ghatkopar West,10am to 1am(Mon-Sun),Good,3.5,66.0,https://www.zomato.com/mumbai/nityan-ghatkopar-west/info
661,Mezban,550.0,Mumbai,Colaba,12noon to 1am(Mon-Sun),Good,3.5,148.0,https://www.zomato.com/mumbai/mezban-colaba/info
662,Apna's Kabab's Roll's,350.0,Mumbai,Fort,4pm to 1am(Mon-Sun),Good,3.7,107.0,https://www.zomato.com/mumbai/apnas-kababs-rolls-fort/info
663,WTF!?!,600.0,Mumbai,Vile Parle West,1030am to 1230AM(Mon-Sun),Good,3.6,126.0,https://www.zomato.com/mumbai/wtf-vile-parle-west/info
664,Bhavna,600.0,Mumbai,Naupada-- Thane West,8am to 130am(Mon-Sun),Average,2.7,34.0,https://www.zomato.com/mumbai/bhavna-naupada-thane-west/info
665,Kiba Fine Dine,550.0,Mumbai,New Panvel,11am to 1215AM(Mon-Sun),Average,3.4,121.0,https://www.zomato.com/mumbai/kiba-fine-dine-new-panvel-navi-mumbai/info
666,Flavour Stones,250.0,Mumbai,Kandivali West,3pm to 1230AM(Mon-Sun),Good,3.7,75.0,https://www.zomato.com/mumbai/flavour-stones-kandivali-west/info
667,Lick Your Fingers,300.0,Mumbai,Chembur,9am to 2am(Mon-Sun),Good,3.7,41.0,https://www.zomato.com/mumbai/lick-your-fingers-chembur/info
668,Sauces and Spices Restaurant & Bar,800.0,Mumbai,Vile Parle West,1130am to 1230AM(Mon-Sun),Good,3.5,36.0,https://www.zomato.com/mumbai/sauces-and-spices-restaurant-bar-vile-parle-west/info
